session_id,bat,blob,skeleton
20260416_213800,3,0,2
20260416_213800,3,0,2
20260416_213821,2,1,2
20260416_213844,3,1,1
20260416_213844,7,5,4
20260416_213844,11,16,8
20260416_213844,20,27,17
20260416_213844,33,42,30
20260416_213844,33,42,30
20260416_214916,2,2,1
20260416_215122,3,2,0
20260416_215122,7,6,3
20260416_215122,12,15,8
20260416_215646,1,1,3
20260416_215734,2,2,1
20260416_215734,8,3,5
20260416_215734,11,11,13
20260416_215734,20,17,27
20260416_215734,24,23,31
20260416_220040,3,1,1
20260416_220040,6,6,4
20260416_220040,15,13,7
20260416_220040,23,26,15
20260416_220040,34,42,29
20260416_220040,49,67,44
20260416_220040,49,67,44
20260416_221037,1,1,0
20260416_221112,0,0,0
20260416_221121,2,1,1
20260417_145408,1,2,2
20260417_145408,4,5,7
20260417_145408,4,5,7
20260417_191018,1,3,1
20260417_191018,4,6,6
20260417_191018,14,11,10
20260417_191018,19,23,22
20260417_191018,34,36,35
20260417_191018,47,61,52
20260417_191018,58,72,62
20260417_191617,2,1,2
20260419_101214,2,2,1
20260419_101214,2,2,1
20260419_102657,2,3,0
20260419_102657,7,6,3
20260419_103327,1,2,2
20260419_103327,4,7,5
20260419_103327,4,7,5
20260419_104123,0,2,3
20260419_105057,0,4,1
20260419_105658,2,0,0
20260419_105706,0,4,1
20260419_111403,2,3,0
20260419_111403,8,6,2
20260419_111742,2,1,2
20260419_111742,6,4,6
20260419_111742,14,12,9
20260419_111742,14,12,9
20260419_112331,4,1,0
20260419_112623,2,1,2
20260419_112717,2,1,2
20260419_112759,2,1,2
20260419_112759,7,3,6
20260419_113214,2,2,1
20260419_113214,7,6,3
20260419_113214,7,6,3
20260419_113435,2,2,1
20260419_113528,3,2,0
20260419_113528,7,6,3
20260419_113528,7,6,7
20260419_113700,2,3,0
20260419_113700,8,5,3
20260419_113700,15,14,6
20260419_114005,0,2,3
20260419_114033,3,0,2
20260419_114033,6,3,7
20260419_114159,4,1,0
20260419_114159,8,2,6
20260419_114159,15,10,10
20260419_114159,28,18,18
20260419_114159,42,29,34
20260419_114159,57,38,50
20260419_130252,1,0,4
20260419_130252,1,4,4
20260419_130326,2,0,2
20260419_131739,0,0,0
20260419_150928,1,3,1
20260419_150928,3,9,4
20260419_150928,10,14,11
20260419_150928,18,28,18
20260419_150928,36,37,32
20260419_150928,42,41,36
20260419_151413,3,0,2
20260419_151413,10,2,4
20260419_151413,10,2,4
20260419_183046,1,2,2
20260419_183046,1,2,2
20260419_184722,0,1,4
20260419_184815,0,4,1
20260419_184815,2,4,10
20260419_185131,1,0,4
20260419_185238,1,2,2
20260419_185238,2,8,6
20260419_185238,9,12,14
20260419_185238,15,25,24
20260419_192210,1,3,1
20260419_192210,5,6,5
20260419_192210,10,14,11
20260419_192210,21,25,18
20260420_145648,1,1,3
20260420_145648,6,2,8
20260420_181458,1,3,1
20260420_181458,5,7,4
20260420_181458,13,12,10
20260420_181458,22,20,22
20260420_181458,29,35,26
